"filename", "language", "SCSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-detail\event-detail.component.ts", "TypeScript", 0, 0, 150, 0, 0, 21, 171
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-discover\event-discover.component.html", "HTML", 0, 27, 0, 0, 0, 3, 30
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-discover\event-discover.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-discover\event-discover.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-discover\event-discover.component.ts", "TypeScript", 0, 0, 106, 0, 0, 17, 123
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events.module.ts", "TypeScript", 0, 0, 18, 0, 0, 5, 23
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events.page.html", "HTML", 0, 42, 0, 0, 0, 1, 43
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events.page.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\events.page.ts", "TypeScript", 0, 0, 95, 0, 0, 15, 110
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\new-event\new-event.component.html", "HTML", 0, 83, 0, 0, 1, 1, 85
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\new-event\new-event.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\new-event\new-event.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\new-event\new-event.component.ts", "TypeScript", 0, 0, 90, 0, 1, 22, 113
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed.module.ts", "TypeScript", 0, 0, 23, 0, 0, 5, 28
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed.page.html", "HTML", 0, 92, 0, 0, 6, 1, 99
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed.page.scss", "SCSS", 15, 0, 0, 0, 6, 3, 24
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\feed.page.ts", "TypeScript", 0, 0, 175, 0, 73, 33, 281
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\new-post\new-post.component.html", "HTML", 0, 41, 0, 0, 0, 1, 42
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\new-post\new-post.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\new-post\new-post.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\new-post\new-post.component.ts", "TypeScript", 0, 0, 130, 0, 1, 28, 159
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-detail\post-detail.component.html", "HTML", 0, 92, 0, 0, 6, 2, 100
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-detail\post-detail.component.scss", "SCSS", 15, 0, 0, 0, 0, 2, 17
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-detail\post-detail.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-detail\post-detail.component.ts", "TypeScript", 0, 0, 120, 0, 8, 21, 149
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-discover\post-discover.component.html", "HTML", 0, 72, 0, 0, 0, 3, 75
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-discover\post-discover.component.scss", "SCSS", 16, 0, 0, 0, 0, 2, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-discover\post-discover.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\feed\post-discover\post-discover.component.ts", "TypeScript", 0, 0, 145, 0, 57, 31, 233
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people.module.ts", "TypeScript", 0, 0, 18, 0, 0, 5, 23
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people.page.html", "HTML", 0, 36, 0, 0, 0, 1, 37
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people.page.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\people\people.page.ts", "TypeScript", 0, 0, 34, 0, 17, 7, 58
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\notifications\notifications.component.html", "HTML", 0, 29, 0, 0, 12, 2, 43
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\notifications\notifications.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\notifications\notifications.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\notifications\notifications.component.ts", "TypeScript", 0, 0, 64, 0, 0, 11, 75
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile.module.ts", "TypeScript", 0, 0, 21, 0, 0, 5, 26
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile.page.html", "HTML", 0, 72, 0, 0, 0, 1, 73
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile.page.scss", "SCSS", 28, 0, 0, 0, 0, 6, 34
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\profile\profile.page.ts", "TypeScript", 0, 0, 107, 0, 39, 19, 165
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs-routing.module.ts", "TypeScript", 0, 0, 56, 0, 3, 5, 64
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs.module.ts", "TypeScript", 0, 0, 20, 0, 0, 5, 25
